Zone,Trial,Path Length,Max Distance
Zone 1,1,83.77574725383852,9.094171325026068
Zone 1,2,80.11517443643999,8.641484156134153
Zone 1,3,86.12676790362742,8.888247176724565
Zone 1,4,85.53342008611759,8.42400261353832
Zone 1,5,92.97496690400416,8.712687925162555
Zone 2,1,78.06236037690806,8.240222671198985
Zone 2,2,80.5048885389605,8.346570544794737
Zone 2,3,82.52649644774918,7.397841472859129
Zone 2,4,94.12902346140734,7.903674669923805
Zone 2,5,76.42004083092566,7.915630062394006
Zone 3,1,73.99852163363369,11.007049604818699
Zone 3,2,68.9957681771076,10.258388282028346
Zone 3,3,66.12243777776615,9.853803609010802
Zone 3,4,80.97756793531363,10.441241332153961
Zone 3,5,76.26358217314424,10.886427671060446
Zone 4,1,74.87436075024375,10.288805344385436
Zone 4,2,76.7105616873234,10.864733499828802
Zone 4,3,73.7475525986666,10.398690232984212
Zone 4,4,83.74916778491178,10.443605974601548
Zone 4,5,85.30214610244313,10.823110426302094
