start -> translation: (7.6, 3.5, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: -0.992108092324248, y: 0.23593251296642948
x: -0.5258050079599742, y: -0.28257584886654064
x: -0.7670321423584177, y: -0.8362636413420876
x: -0.8446520954548513, y: -1.0635826707192286
x: -0.5177254456275209, y: -1.13309952260233
x: -0.3538199333304136, y: -0.9232126863197282
x: -0.24111530394444036, y: -0.70782550822806
x: -0.1587197751465686, y: -0.4287040978451353
x: -0.2551528738215715, y: 0.21844593667472645
x: -0.00464775048047105, y: 0.7987278979495029
x: 0.8303431482376356, y: 0.6646626214566546
x: 1.179921482515468, y: 0.2291260224086746
