start -> translation: (7.6, 3.5, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.16597570953901516, y: -0.32235016751682266
x: -0.1011837231655355, y: -0.54940139091238
x: -0.1421234326043556, y: -1.0314273311772948
x: 0.2147268679595158, y: -1.109092522996989
x: 0.27994812402806446, y: -0.9958605674160019
x: 0.33084283823049876, y: -0.4157917373114957
x: 0.33995718513438444, y: -0.02325210321850399
x: -0.014763376416425318, y: 0.6793146085054067
x: 0.5586995703206729, y: 1.0759088330305264
x: 1.3673459349822434, y: 0.9511386541654813
x: 1.5962085044954282, y: 0.36232197935119337
x: 1.4611162435518181, y: -0.11628312048735391
x: 1.468507578485105, y: -0.9938976114488477
x: 1.3868501449280661, y: -1.847713755119478
x: 1.2986275141351842, y: -2.59668199356816
x: 1.2700937020195648, y: -2.8390331096706776
x: 1.4323506585369963, y: -3.006137534332285
x: 1.704456229027537, y: -3.0939686617652393
x: 2.4575342120179027, y: -3.108267546287905
x: 2.5265376887226894, y: -2.671008913557558
x: 2.6334663791184547, y: -1.85294518214026
x: 2.66511285812297, y: -1.610876327941601
x: 2.696734636700569, y: -1.3690132488045939
x: 2.728488533808513, y: -1.1261224237836713
x: 2.6866697281507954, y: -0.5374366857755237
x: 2.6338237932712523, y: -0.058926477255295144
x: 2.073441268836125, y: -0.04103789565896759
x: 1.6260946410122248, y: 0.20554774514497923
x: 1.6865542064166252, y: 0.9813855541673164
x: 1.8067331106505773, y: 1.7976079657990378
x: 1.8422602068557405, y: 2.0389283137958762
x: 1.8779383120499429, y: 2.28127379921047
x: 1.9134664829821977, y: 2.5225939893197844
x: 1.903949090436048, y: 2.9601501975687152
x: 1.861269757974925, y: 3.1869874249438124
x: 1.5656194933912506, y: 3.0620793319282216
x: 1.443668598122436, y: 2.4875504728033024
x: 1.2382269659084244, y: 1.6111738892695686
x: 0.8648859242690422, y: 1.3182311893177765
x: 0.24877952377104584, y: 1.4412389786097093
x: -0.11634631894462763, y: 1.6278116786149717
x: -0.6724988342166778, y: 1.9357879926509838
x: -0.6821909599886228, y: 2.3958254752897776
x: -0.4683218869047275, y: 3.2973502798529197
x: -0.38295578576740713, y: 3.573207500908874
x: -0.452247231880088, y: 3.41955897335714
x: -0.713285317055862, y: 2.484603803133465
x: -1.0538351492072777, y: 1.725875432857153
x: -1.7416122671935375, y: 1.7068321311160617
x: -2.271380277270062, y: 2.339871078217149
x: -2.1817082357945266, y: 3.01745578355737
x: -1.9890795339635592, y: 3.458597908513373
x: -1.8881875961869479, y: 3.7578833210274154
x: -1.9295579827230436, y: 3.864878583117399
x: -2.213453529681079, y: 3.9204803903042977
x: -2.6074461807674942, y: 3.334405023036883
x: -2.763875103975411, y: 2.720040372544732
x: -2.9774130430336343, y: 1.7690705608735176
x: -3.23869800340323, y: 0.9366296018018645
x: -3.876204648319055, y: 0.45466671933649944
x: -4.538212875490837, y: 0.6552067599061779
x: -4.673452839296374, y: 1.329192427539521
x: -4.616638877464284, y: 1.875103625554616
x: -4.459137583870444, y: 2.598744410148177
x: -4.331623840507363, y: 3.0890623622526436
x: -4.166898081404666, y: 4.04569573789055
x: -4.080429172242753, y: 4.547805982516894
x: -4.552576845973683, y: 4.6940332209494215
x: -4.992009312039843, y: 4.8288843606037934
x: -5.225296843309829, y: 4.9004745929018965
x: -5.456603162692386, y: 4.97145684513424
x: -6.174196464136738, y: 5.060732202207794
x: -6.334205034396452, y: 5.641269734282249
x: -5.751606917397934, y: 6.029687306822814
x: -5.271604571145058, y: 5.788471092628631
x: -4.494013579692359, y: 5.55558473248754
x: -3.892390156846535, y: 5.377894312349559
x: -3.698089025677835, y: 5.821948782606056
x: -3.8926145380081842, y: 5.991801926143724
x: -4.497831500419803, y: 6.5082715129008495
x: -4.643186951190712, y: 6.623861344275217
x: -5.042477443400255, y: 6.7152373602681426
x: -5.589622998063124, y: 6.31377758580713
x: -6.312585503762774, y: 6.480227784538798
x: -6.404508749999939, y: 6.4564866421375475
x: -6.634256469912757, y: 5.509089216634504
x: -6.864920735980782, y: 4.557862372362014
x: -6.842107452772562, y: 4.354950797676691
x: -6.326368415002923, y: 3.9507167697331833
x: -5.860576687266148, y: 4.067160456742333
x: -5.3216848778131, y: 3.7522235132869732
x: -5.081150949019296, y: 3.5857639837328574
x: -4.462217687813889, y: 3.2196431077560366
x: -4.598618359086093, y: 2.436501826845054
x: -4.816543878865969, y: 1.4863152825540342
x: -5.170837891046873, y: 0.9696650985934048
x: -5.809234193881841, y: 1.1922715397361385
x: -6.094898292787605, y: 1.810269162762143
x: -5.856347837687131, y: 2.1980960378922383
x: -5.783229533826469, y: 2.5393233470726124
x: -6.281562366632211, y: 2.7404381389735195
x: -6.507240378599041, y: 2.830230638485401
x: -6.938402454974626, y: 2.8424940618080523
x: -7.224299374922341, y: 2.6726186855408223
x: -7.455740911727897, y: 1.725846910243373
x: -7.687227288344786, y: 0.7788727529544259
x: -7.755996360819038, y: 0.49734546026766274
x: -6.995770933311977, y: 0.22458187598691262
x: -6.697991847068238, y: 0.11901659675141968
x: -6.467989751562234, y: 0.037485766347637534
x: -6.362364995777267, y: 0.0279230829407887
x: -6.018930991402964, y: 0.6712534253970325
x: -5.508325479948292, y: 1.0424020766282844
x: -4.953104049697862, y: 0.6720023384615684
x: -5.098692666884636, y: -0.0006231640977118419
x: -5.2931024705624585, y: -0.5488405447848645
x: -5.625972341326347, y: -1.3142736293821815
x: -6.31166634199823, y: -1.3584887555622351
x: -6.489215496761511, y: -1.1690128327314488
x: -7.1852517745209585, y: -1.042045448983684
x: -7.3731167006687475, y: -0.839266938994731
x: -7.826017063422554, y: -0.9375632339024492
x: -7.955845603405159, y: -1.2105281442118865
x: -7.922643380979837, y: -1.330137137511128
x: -6.974515336370445, y: -1.5732251767496195
x: -6.546636843945061, y: -1.6252055235211222
x: -5.772826698952039, y: -1.6188573397979946
x: -5.546906783832035, y: -1.8967108740486054
x: -5.080458950046906, y: -2.111137623507472
x: -4.858371060102673, y: -2.2122573698296635
x: -4.5073452557619, y: -2.262168270539207
x: -4.325480696367326, y: -2.2947693007097665
x: -4.254218850966688, y: -2.297753579634136
x: -4.839425968793819, y: -1.8513672770505192
x: -4.8689448057874, y: -1.1675027306871781
x: -4.627275018297467, y: -0.8112550022599603
x: -4.161516106046942, y: -0.19610738413267714
x: -3.570958501457864, y: -0.30026793423291653
x: -3.5297280346614497, y: -0.3828686352243124
x: -3.3947416180759786, y: 0.13851764607814496
x: -3.05639189627571, y: 0.8378832684196983
x: -2.3710968984195415, y: 0.8062238162542129
x: -1.9199791911581678, y: 0.5475313949094441
