start -> translation: (0.96, 0.492, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.88201344, y: 0.0
x: 1.12593492, y: 0.0
x: 1.9749972, y: 0.0
x: 2.9537917200000003, y: 0.0
x: 3.53683430155462, y: -0.0028440626561847438
x: 3.514291552606348, y: 4.733416573015519e-05
x: 2.729339645961252, y: 0.260744658567418
x: 2.645308970133205, y: 0.9458647196049141
x: 2.7190045257612456, y: 1.4916876582804002
x: 3.1331074840726907, y: 2.064092421179172
x: 3.622593855067688, y: 1.987856031282448
x: 3.658095771406067, y: 1.9694965276933798
x: 3.7944548702857492, y: 2.8802224549975137
x: 4.222796233880088, y: 3.46496253136073
x: 4.753047109725147, y: 3.365845860513803
x: 5.482561710246111, y: 3.307618459095732
x: 6.32465170781362, y: 3.1629485221092906
x: 6.537607442062614, y: 2.5075061824443323
x: 6.436694519865389, y: 2.1801625640976607
x: 6.530215550296654, y: 2.0965408237485206
x: 6.809731778284692, y: 2.1223683156957125
x: 6.828194128969566, y: 2.8764134870224582
x: 6.767211186332461, y: 3.2194086339381
x: 6.519374940342631, y: 3.921009429181717
x: 7.175973378440577, y: 4.272142979439981
x: 7.884592189528815, y: 4.219759142944469
x: 8.023486947793085, y: 3.8568051371104914
x: 7.9521295244564385, y: 3.15119449179352
x: 7.920877301322672, y: 2.4778265979599063
x: 7.906479639367476, y: 1.4991380359177828
x: 7.902139179157302, y: 1.2042674785672842
x: 7.898549460530517, y: 0.9602687982760655
x: 7.894982114618747, y: 0.7173060997332886
x: 7.8913686419131155, y: 0.4713387762959673
x: 7.8889956982649245, y: 0.307341606952311
x: 8.27855209406682, y: 0.1489751608533487
x: 8.950081722959109, y: 0.19898202857198033
x: 9.142833227123463, y: 0.21990596056401385
x: 9.14797405842559, y: 1.0546341601493452
x: 9.150606693960063, y: 2.025549924204512
x: 9.153192589780003, y: 3.0043409555698024
x: 9.084328814639974, y: 3.240133629058335
x: 8.216627579825433, y: 3.403920921945285
x: 8.071005385425279, y: 3.845340218139728
x: 8.180067578454878, y: 4.5513733158731045
x: 8.224520947286914, y: 4.791315258561694
x: 8.180384015035852, y: 5.166509042993077
x: 8.033487111507535, y: 5.96570372648655
x: 8.137536266643098, y: 6.296031998308351
x: 8.02748571158462, y: 6.359619706601384
x: 7.912451482066995, y: 6.210201879524797
x: 7.927306769433435, y: 5.280516006867155
x: 7.769260843932313, y: 4.501217234073702
x: 7.295823713408961, y: 4.377658654201768
x: 6.835189690352335, y: 4.50569977168146
x: 6.35173120602027, y: 4.502494658757615
x: 5.809582890972301, y: 4.675674464545205
