start -> translation: (5.2, 6.0, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.10782896215872888, y: 0.021274213625958785
x: 0.1796016074278292, y: 0.6985291440608657
x: -0.08230729060366596, y: 0.7578546440412284
x: -0.21145834017216097, y: 0.49537843640156565
x: -0.4276703636279737, y: 0.0011136448384629644
x: -0.4330341680476868, y: -0.9666822505902019
x: -0.4535124710786785, y: -1.8894499606519846
x: -0.8970058542005591, y: -2.5790853848474664
x: -1.4757372309615293, y: -3.00961620360193
x: -2.067319493215877, y: -2.6404310191979397
x: -2.0742555531273847, y: -2.0985508237482313
x: -2.03903171819204, y: -1.2242937405503012
x: -1.9997964222366824, y: -0.2502266566121674
x: -1.9605447252015877, y: 0.723839760314208
x: -1.9478702909651973, y: 1.0383820648937978
x: -1.9086349950098342, y: 2.0124491488319425
x: -1.90572084664706, y: 2.4220551362449476
x: -2.580933417120132, y: 2.581261228701207
x: -2.8392340745369133, y: 2.9516856032477614
x: -3.2703249277269912, y: 3.0364582825806923
x: -3.3915339480430298, y: 3.0575126936088637
x: -3.944476390571123, y: 2.4715840842243875
x: -4.497548327256821, y: 2.725442604007065
x: -4.733750263440456, y: 2.8362764582013633
x: -4.81002705585111, y: 2.6096728531872144
x: -5.006313247086834, y: 1.830621021255069
x: -5.240093045459399, y: 1.1874862946894615
x: -5.323069299278985, y: 0.9592141163413725
x: -5.406436480684995, y: 0.7298712521764735
x: -5.367419595921786, y: 0.6034909476760483
x: -4.784908124816597, y: 0.21373771196532595
x: -4.496043380287245, y: 0.2224210367383398
x: -3.771039732800199, y: 0.0686515719314092
x: -3.6179689533564123, y: -0.11475587447391904
x: -2.901064750702724, y: -0.4199622735362689
x: -2.807044291795042, y: -0.9822112076084092
x: -2.95854373367734, y: -1.5492555079243953
x: -3.027776135332954, y: -1.7821728044572553
x: -3.0946790767918655, y: -2.45561962109581
x: -3.6024815743733236, y: -2.7743722703333655
x: -4.18914160195023, y: -2.449214990236161
x: -4.14091552179694, y: -1.8060839941993265
x: -4.094731132351299, y: -1.3411565810698634
x: -4.326682944731913, y: -1.2402949662930485
x: -5.288490320705721, y: -1.0819579607636094
x: -5.465384518768813, y: -1.1222936648169348
x: -5.5336614389854715, y: -1.9404736749901326
x: -5.680581296123034, y: -2.53081924751437
x: -5.73926358579469, y: -2.766615735072325
x: -5.66653174228916, y: -3.258416592552153
x: -5.616528290724058, y: -3.5746991483151858
x: -5.022908982324573, y: -3.6861578183043076
x: -4.298758455043701, y: -3.818347965217631
x: -4.1041834271221695, y: -3.397720506498453
