start -> translation: (5.2, 6.0, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.09675868924248475, y: -0.0028662479654868174
x: 0.1660017327466204, y: 0.6495360961085882
x: -0.04250502750280427, y: 0.7503345059560277
x: -0.14740739762342633, y: 0.6788786476499065
x: -0.42954477242272693, y: 0.03516972338871072
x: -0.5083515055386169, y: -0.6642606893457557
x: -0.5662075224465494, y: -1.1987188406936744
x: -0.6702114133368201, y: -2.159882832728047
x: -0.9393938279471122, y: -2.8921830310681957
x: -1.5715802888623815, y: -3.1048977543517418
x: -2.04827292125642, y: -2.6169742334131856
x: -2.014687194016185, y: -2.3034436900037085
x: -2.3775612079856954, y: -1.5073848974997202
x: -2.571760891532417, y: -0.7649781517057376
x: -2.5452086475922604, y: -0.39716607498533935
x: -2.82865609332112, y: 0.2659497413117766
x: -2.9584021484636502, y: 0.8326665010368115
x: -2.933147259651162, y: 0.9756524779612243
x: -3.624574036216114, y: 0.848966000333196
x: -4.578760256534464, y: 0.670047580580514
x: -5.309210779839504, y: 0.7541628459116502
x: -5.337076831890938, y: 1.3871692003758616
x: -4.7044826015279755, y: 1.6579621371604614
x: -4.407835858120969, y: 1.6122444012952557
x: -3.4628254440917363, y: 1.834139455201833
x: -3.123382474278918, y: 1.9138339693073492
x: -3.182134007998049, y: 2.3189789315388354
x: -3.8317834719532895, y: 2.34896873246959
x: -4.125104527763745, y: 2.620202768685042
x: -4.652158131532647, y: 2.5983582410889023
x: -4.78753228966984, y: 2.343326079691352
x: -5.293853456624252, y: 1.8410149821982709
x: -5.828610917095915, y: 1.86482000849663
x: -5.816800719392832, y: 1.4579612529029586
x: -5.7961950736043395, y: 1.0687915772477874
x: -5.783340991451881, y: 0.8260391496002398
x: -5.6190419764912205, y: 0.4291516626197606
x: -5.3320329213953785, y: -0.20812524789857725
x: -5.397397089306039, y: -0.35600992720963426
x: -5.411401403420282, y: -0.40039173385240434
x: -4.7658261465062575, y: -0.5747233524432693
x: -4.554541123264698, y: -0.39699301247014374
x: -3.865860645047924, y: -0.23809225248509233
x: -3.685295466455145, y: -0.42590804348692357
x: -3.032122655832212, y: -0.359307043643018
x: -2.733423048954352, y: -0.5139326793155876
x: -2.6012480037546726, y: -1.2202112221457149
x: -2.4738458936744196, y: -2.1947544856772137
x: -2.566442306617645, y: -2.8132045983703198
x: -3.2870832796895177, y: -2.9684830059062137
x: -3.7219725620101656, y: -2.4406245861020763
x: -3.631877455194487, y: -2.0704567496141864
x: -3.7327867644147603, y: -1.6645616827325453
x: -4.35840303841874, y: -1.735370952634457
x: -5.106117769587122, y: -1.8336527675881173
x: -5.045564782159621, y: -2.1593372925252186
x: -5.010778922544449, y: -2.91142054380748
x: -5.0200669991110995, y: -3.1541281552278786
x: -4.8912095580666595, y: -3.559528347232399
x: -4.67383135113323, y: -4.199352760499077
x: -4.631993863081893, y: -4.25068834446237
x: -3.8143792592193004, y: -4.140547774775172
x: -3.3298056441411443, y: -4.109578063612014
x: -3.2983890814111603, y: -3.503292883131165
x: -2.985132133181478, y: -2.962335137333066
x: -2.316656976262813, y: -3.0000602488213577
x: -2.0482780072147984, y: -3.6489839011848035
x: -1.828500845450454, y: -4.092097948747069
x: -1.6312990718866194, y: -4.806086067656649
x: -1.9094007602427854, y: -5.457938034195481
x: -2.4199976700803165, y: -5.500681708533338
x: -2.470032960733637, y: -5.370522567452845
x: -2.4799148972180274, y: -5.347639720659267
x: -3.097623303831303, y: -5.882493013647756
x: -3.3547208354901055, y: -5.709635997494902
x: -3.3547513569003664, y: -5.709702198059513
x: -3.7577858561942694, y: -6.05919372149224
x: -3.625914366107125, y: -6.4483178788900055
x: -3.2257459292081747, y: -6.348486348769467
x: -2.636965578574184, y: -6.195414400704388
x: -2.4007892295900866, y: -6.134022487338155
x: -2.1211551463137117, y: -5.794144791543989
x: -1.4940761978196506, y: -5.439088740862738
x: -1.2511413569897494, y: -5.539669677766526
x: -0.39654441341266206, y: -5.25842403598915
x: 0.04999728418340032, y: -5.1366008455055745
x: 0.05006607921430589, y: -5.136662189946215
x: -0.6033570830357096, y: -5.182504685050262
x: -1.0860389614465644, y: -4.699612010367134
x: -1.0740869939798774, y: -4.302042983418551
x: -1.14249418178908, y: -3.4409732627657488
x: -0.5837871237234626, y: -3.119098723927144
x: -0.4517138614896771, y: -3.1744309048568935
x: -0.5900131286284576, y: -2.766432534917004
x: -0.7731829940282071, y: -1.954987302078283
x: -0.23935773241107744, y: -1.5247237293198384
x: 0.2285903128358634, y: -1.5155686448658974
x: 1.1698204747730818, y: -1.2617346532794738
x: 1.9082160201969938, y: -1.3075755921410976
x: 2.117380379287557, y: -1.917971223340771
x: 2.1432961791024083, y: -2.199760685242874
x: 2.4407874567490615, y: -2.1059163135949217
x: 2.5010390773024, y: -2.014023778821249
x: 2.082956980197735, y: -1.2183041625181905
x: 1.8444757331646553, y: -0.9623340765581444
x: 1.5798629088571703, y: -0.32893836618055355
x: 2.222320883907362, y: 0.11249845834028864
x: 2.7978275326005067, y: 0.19204262310061418
x: 3.1380642214903287, y: -0.26848631597078165
x: 3.156423524707752, y: -0.6504224769613017
x: 3.493662359312782, y: -1.5585708288367435
x: 3.8316727384499596, y: -2.4687540155069296
x: 3.9422821930712417, y: -2.766576363144116
x: 4.026917426585917, y: -2.994459775718487
x: 4.111841285189345, y: -3.2231202791754012
x: 4.16295073050988, y: -3.3609094319508763
x: 4.552514868073699, y: -3.365872663260973
x: 5.143761203948169, y: -3.091275930723954
x: 5.303645851288839, y: -2.853973082551243
x: 5.033018556264057, y: -2.0219909149090576
x: 4.8267681781029825, y: -1.1233550718004102
x: 4.61027357813148, y: -0.1729477423039357
x: 4.582267674027409, y: -0.05010697217930407
x: 3.691993057556337, y: -0.1480382992292046
x: 3.301075730355592, y: 0.16551098891172406
x: 3.1779116787747284, y: 0.7763034245901983
x: 3.117427814459124, y: 1.2571184312403056
x: 3.0770390382788655, y: 1.4977779034208738
x: 3.0368181174691338, y: 1.737414855658948
x: 2.8648903601887645, y: 2.2109907601251226
x: 2.618089871119786, y: 2.704437014236144
x: 2.4756572657404905, y: 2.54335817063815
x: 2.504802157663041, y: 2.227325157906546
x: 2.7548863233422276, y: 1.2892734472172536
x: 2.759971638399142, y: 0.7221274211433526
x: 2.2769410201611096, y: 0.41207918548957473
x: 1.9035466468347253, y: 0.46511856872258567
x: 1.1758923761598845, y: 0.39520848063956693
x: 0.8486744716841832, y: 0.717516491037526
x: 0.640853329401706, y: 1.5221438197258974
x: 0.5070408415255107, y: 2.0868131195901705
x: 0.4639900392597658, y: 2.039708324263229
x: 0.7322035418679028, y: 1.1087273272575775
x: 0.8669259038600562, y: 0.26232104099859316
x: 0.3349209371269981, y: -0.16643375599261845
x: -0.4656449119936433, y: 0.10230508506551657
x: -0.8915517833172205, y: 0.6479294762512027
x: -0.8462304346169139, y: 0.9780102643184675
x: -1.0779015116373603, y: 1.5679629201325953
x: -1.194340168206321, y: 1.5699645302869296
x: -1.4312532527933624, y: 1.0610920288480108
x: -1.2505001780591478, y: 0.3569545145976551
x: -0.9917845710547657, y: -0.5828380836926054
