start -> translation: (1.8, 6.3, 0.05)| rotation: (0.0, 0.0, 1.0, -1.57)
x: 0.0, y: 0.0
x: 0.3583988759745313, y: 0.14750008650430566
x: 0.4873411980707959, y: 0.6539309912381029
x: 0.7148815476500433, y: 1.2757672627318999
x: 1.4297021372603296, y: 1.3593051036957178
x: 1.7175535416540937, y: 1.2691588221111587
x: 2.456260182263824, y: 1.415682728157303
x: 3.004255499445052, y: 1.1501255627174825
x: 2.8225255574215624, y: 0.4558843147547379
x: 2.2760991164379667, y: 0.017095411937318082
x: 1.869821775338794, y: 0.1562998851970488
x: 1.6014543091431002, y: 0.1714056899528729
x: 1.639444379718842, y: -0.5801609873196809
x: 1.6342517697142238, y: -1.2663369755811609
x: 2.1384592541768965, y: -1.329133898837075
x: 2.4512822353346406, y: -1.3661446895363152
x: 2.6935147658498506, y: -1.3947992783049563
x: 3.1802167399944246, y: -1.2618225603308855
x: 3.910950294195106, y: -1.1840788967787026
x: 4.0460603700898385, y: -1.2431684623513322
x: 4.030923630801244, y: -0.5169379231940786
x: 4.052262567512978, y: 0.1678021642811186
x: 3.814791216109066, y: 0.18480768995921404
x: 3.1112328268313636, y: 0.3057961096117426
x: 3.0472623110475876, y: 0.7517717453237945
x: 3.4118407963580033, y: 1.4549182919986527
x: 4.058423274494784, y: 1.4078522417274986
x: 4.654469728916091, y: 1.143886621845719
x: 5.301677526254927, y: 0.7188971456634123
x: 5.174435827103853, y: 0.041533569257908215
x: 5.06589084257204, y: -0.009435193185467091
x: 4.941298474327937, y: -0.7362353460013948
x: 4.693044647312179, y: -0.8724009703006919
x: 4.804137455451468, y: -1.218616630621449
x: 4.998389423753489, y: -1.4580590541065883
x: 5.13662253175561, y: -1.4749231323510201
x: 5.48449308797456, y: -0.6420347945902326
x: 5.577428124671639, y: -0.4175204965350802
x: 5.6379390189984315, y: -0.23414477950495668
x: 5.454481329984101, y: 0.6039844798821347
x: 5.807515713787676, y: 0.9096524843923135
x: 6.007792516644111, y: 1.4052599647746005
x: 6.302152778461541, y: 2.18241296266561
x: 6.310981099191351, y: 2.2058173464568642
x: 5.942655572342744, y: 1.6607878689683808
x: 5.264872998798609, y: 1.561139515967895
