start -> translation: (5.2, 6.0, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.09675835418215223, y: -0.0028673038013419124
x: 0.17383341519840131, y: 0.6461418169951854
x: -0.032117922437825554, y: 0.7444257365948788
x: -0.14157089415492308, y: 0.6711425300538619
x: -0.42358880493027196, y: 0.028729140403274667
x: -0.5222387562349785, y: -0.6679652139142137
x: -0.5556657685766123, y: -0.9127232344171227
x: -0.588670493831793, y: -1.154401470612845
x: -0.63140487788032, y: -1.4673307359628698
x: -0.754430000337474, y: -2.3102420755862054
x: -1.0665953339455503, y: -3.023507301466535
x: -1.7520820330696112, y: -3.051592636045777
x: -2.0181038925149037, y: -2.4095927889988853
x: -2.1008729424546777, y: -1.7897533398928378
x: -2.151291160704553, y: -0.9962757320869604
x: -2.0549229993311613, y: -0.6296038441173489
x: -2.069439581469488, y: 0.34504130681674533
x: -2.079284102915941, y: 1.0052353523208233
x: -2.5809014301070166, y: 1.0703461779773926
x: -3.407024160884958, y: 1.1605458787120826
x: -4.0853321832714435, y: 1.234592478493595
x: -4.386412153136872, y: 1.7246979857498534
x: -3.876541083939844, y: 2.203889109739039
x: -3.4276362883580824, y: 2.0486148723484443
x: -2.5387258436713287, y: 1.9389753683499902
x: -1.9993086052317426, y: 1.87586505798777
x: -1.9312212652991954, y: 2.1851401351420807
x: -1.8852583817004178, y: 2.4002690406405205
x: -2.3098610671665094, y: 2.471531038692697
x: -2.8634545328748495, y: 2.799509010921117
x: -2.87145602956167, y: 2.8973116376004517
x: -3.4096206906596622, y: 2.907656518604379
x: -3.709256683412572, y: 2.566262426287028
x: -4.370663485615306, y: 2.2884390670207946
x: -4.681398635430237, y: 2.337588632370807
x: -4.757082487836459, y: 1.9810566644743381
x: -4.80693531859523, y: 1.7431309318328274
x: -4.618268653784044, y: 1.0429836922655729
x: -4.647965100430731, y: 0.37404399066179483
x: -4.516782973044714, y: 0.12938554741610758
x: -4.183671856921101, y: -0.15437363852590458
x: -3.7441457396405795, y: 0.08284632928492486
x: -3.0402206387374013, y: 0.04898065890825284
x: -2.9054826640378804, y: -0.11925576782156876
x: -2.08688268783721, y: -0.17250367437639202
x: -1.822717066249079, y: -0.6875605668978774
x: -1.8565556513379446, y: -1.170137258808593
x: -1.7751350027998174, y: -1.816318788793009
x: -1.8266724475688678, y: -2.5198741385047567
x: -2.2665044249373594, y: -2.7014434544185337
x: -2.902405525137809, y: -2.4330180553095593
x: -2.9273750118311086, y: -1.828605325777259
x: -2.917364621888485, y: -1.3463793244682383
x: -3.155494470987238, y: -1.3467242834858513
x: -4.118613373280234, y: -1.4975482618228375
x: -4.391550127551253, y: -1.5618744121461938
x: -4.345600564818246, y: -2.464431869704826
x: -4.320541525540547, y: -2.9252744963944046
x: -4.307289152640772, y: -3.168939451797492
x: -4.2940403952353785, y: -3.412604604538438
x: -4.227280001139009, y: -3.7663117745072254
x: -4.128821560387089, y: -3.9350269311480597
x: -3.3301313283903813, y: -3.8386356401680937
x: -2.646788158392231, y: -3.845113286790554
x: -2.593267181934484, y: -3.4362105855094756
x: -2.4220966275718014, y: -2.7654835971871496
x: -1.8507635450556374, y: -2.6183393397993533
x: -1.3801172470672927, y: -3.123062549315087
x: -1.4853095161061163, y: -3.5369577651506696
x: -1.3494166331606443, y: -4.277893437659989
x: -1.4732683068737682, y: -4.951485128981046
x: -2.1268422584983404, y: -5.177077769914445
x: -2.3393153572456353, y: -5.0603313595634996
x: -3.103871597762117, y: -5.191591426952714
x: -3.284325772526008, y: -5.049382703337391
x: -3.5621661977454435, y: -5.230417254850837
x: -3.7614240489390345, y: -5.396204346719445
x: -3.7440377333491734, y: -5.646732064793428
x: -3.2101022414094307, y: -5.71679748300121
x: -2.9681513105067867, y: -5.748546283481652
x: -2.460903093992585, y: -5.70471609583668
x: -1.9093169874659264, y: -5.359238135520887
x: -1.279801374267576, y: -5.452154114501019
x: -1.0015446175015525, y: -5.519543167032593
x: -0.02707326782561666, y: -5.492129773398974
x: 0.14010705532503195, y: -5.512904567748307
x: 0.04568918139763617, y: -5.496360257019684
x: -0.7024503988195414, y: -5.2107827820436174
x: -0.7254653148173659, y: -4.563494478557795
x: -0.6736490782012429, y: -4.175720132273668
x: -0.4241886764161301, y: -3.4845433454605788
x: 0.16732601058119634, y: -3.4609413806316813
x: 0.2578695798042587, y: -3.540772562240497
x: 0.369531791506378, y: -2.8456477106960336
x: 0.7161406270819235, y: -2.162724215887075
x: 1.3609709930551286, y: -2.211383467498605
x: 1.9186972469402317, y: -2.3498916144711286
x: 2.8547339417372135, y: -2.5166528261275563
x: 3.2258447938861687, y: -3.0739492842131853
x: 3.0683463685941454, y: -3.470611113633483
x: 3.024859671326564, y: -3.683897003620052
x: 3.3886319979919803, y: -3.7135660757141054
x: 3.478568886873365, y: -3.386323532903547
x: 3.587613877389125, y: -2.7118108172753495
x: 3.271196987820145, y: -2.363144762809803
x: 3.3531370373277674, y: -1.7210089312733163
x: 4.100975758985745, y: -1.630231676070167
x: 4.7267472003188935, y: -1.8461700617912635
x: 4.821611090419605, y: -2.3324083586600652
x: 4.670608455261466, y: -2.7632262110095427
x: 4.606055800957789, y: -3.660696162888047
x: 4.539816663213743, y: -4.629145660214174
x: 4.4779291451095204, y: -5.533913749340662
x: 4.517964439926491, y: -5.705899892590443
x: 4.947597485236131, y: -5.807094956250879
x: 5.442877395685787, y: -5.730895125853192
x: 5.563677341689267, y: -5.565419728652962
x: 5.624479338745656, y: -4.95605145582535
x: 5.648802635159876, y: -4.712304400742035
x: 5.622896141157217, y: -4.430431082925169
x: 5.380909489784921, y: -3.6444500062534115
x: 5.48587224930505, y: -3.27295328652212
x: 5.434016484843674, y: -2.687111252732047
x: 4.899911908324294, y: -2.6658169425353204
x: 4.413025843198049, y: -2.4447675906120585
x: 4.422204144241167, y: -1.69358580661002
x: 4.478163413000029, y: -0.9394403996982293
x: 4.496213506273327, y: -0.6961877061142392
x: 4.514282479769812, y: -0.45272860283197086
x: 4.481188576510675, y: -0.17161207649194038
x: 4.286738627077029, y: 0.4167173261058004
x: 4.332784940227119, y: 0.4687445917220172
x: 4.180986399831698, y: 0.3898327539939239
x: 4.1131593327256235, y: 0.24004089414707375
x: 4.217779226301882, y: -0.6805707242242576
x: 4.0218153304684385, y: -1.433094049003481
x: 3.5289572046370465, y: -1.6257367002070562
x: 3.0989107859692218, y: -1.5005299218841401
x: 2.4258330373277794, y: -1.4115751341826723
x: 2.0809924952237053, y: -1.2861298589436359
x: 1.482361901799614, y: -1.6067175474224211
x: 0.7835766990129159, y: -1.5780922271180244
x: 0.4143731236846279, y: -0.9839663515485999
x: 0.56167384669872, y: -0.5541154749044291
x: 0.5806498069539638, y: 0.3456240581644586
x: 0.39122681861064995, y: 0.42306054184510583
x: 0.21585890287543222, y: 0.26837340635384277
x: -0.02379854138067023, y: -0.13088995235081827
x: -0.0671522031555258, y: -0.9285033511043256
x: -0.11678414928577836, y: -1.9060386161064529
x: -0.22645384538358002, y: -2.76916809821333
x: -0.6858270236463486, y: -3.370751859075639
x: -1.3750476695333609, y: -3.299266701298296
x: -1.5793175938043673, y: -2.680005368237125
x: -1.6788780171359061, y: -2.1642321034682044
x: -1.6724118325661999, y: -1.4223956257134025
x: -1.6219928971485602, y: -0.8456660018216866
x: -1.5923673834307053, y: 0.12874062866998587
x: -1.5738688558799487, y: 0.736812285499204
x: -1.546345303910197, y: 1.6402703149962143
x: -1.5337281110307042, y: 2.0537343236820695
x: -2.207192648512642, y: 2.3365315227074346
x: -2.4558578329141394, y: 2.5882242172738237
x: -2.987637179716606, y: 2.5909211838096704
x: -3.3763229569439064, y: 2.2795035911849677
x: -4.066403745666453, y: 2.02704867687755
x: -4.2972691812491455, y: 2.135023860611527
x: -4.2954238349450815, y: 1.9925605678936367
x: -4.267098634731846, y: 1.165275956304148
x: -4.3268898175110735, y: 0.19235820248453148
x: -4.340544780720221, y: -0.029093519457939462
x: -3.6885790412363133, y: -0.21238466711536122
x: -3.6082696154021288, y: -0.3320560487767682
x: -3.1291792727390124, y: -0.08961470577372727
x: -2.616508698150928, y: -0.28340302146448965
