start -> translation: (5.2, 6.0, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.04629551199309123, y: -0.27123302554988843
x: -0.35605291041331627, y: -0.35366672744541344
x: 0.02553148146765199, y: 0.07055454225813959
x: 0.06767959896080446, y: 0.04662290260324291
x: 0.021196731597518944, y: 0.6495519221706916
x: -0.07428170041198537, y: 0.7036862554369699
x: -0.41438129394070533, y: 0.2013572907387882
x: -0.4412439642055387, y: -0.21357405635388307
x: -0.38228385757644207, y: -1.0151247227455498
x: -0.4606627579645031, y: -1.9586499125445855
x: -0.778727317124113, y: -2.731797493434933
x: -1.3396177481854081, y: -3.1217161617717957
x: -1.9373926900091645, y: -2.7543757511286726
x: -1.9583481656786292, y: -2.2569386103625733
x: -1.9394462493376008, y: -1.6488793669291422
x: -1.9318661060841724, y: -1.40497205316591
x: -1.92431711295318, y: -1.1621004717258283
x: -1.9167620879720257, y: -0.9192290787288484
x: -2.0485746373013876, y: -0.5158011981964307
x: -2.218173517322545, y: 0.222489680818958
x: -2.1215408200140016, y: 0.5668043913458135
x: -2.1319808024478233, y: 0.9102465005491551
x: -2.8847451544325433, y: 0.9663873838711013
x: -3.201859206964314, y: 0.9888147645076363
x: -3.445276103688812, y: 1.0060325985592908
x: -3.874877037414341, y: 0.9650809329960969
x: -4.51466692312158, y: 1.167327268811147
x: -4.446795163534164, y: 1.7958670909231336
x: -3.7821923171442764, y: 1.962156882805523
x: -3.4544438728055127, y: 1.846389220977775
x: -2.554727333895184, y: 1.906887905474861
x: -2.1450922350378434, y: 1.8739690131282456
x: -2.0964594853919145, y: 2.2109040064042937
x: -2.237985540020709, y: 2.348532494560158
x: -2.9589775674297147, y: 2.694416572292759
x: -3.034497964277727, y: 2.800339648245231
x: -3.568165760820217, y: 2.8278258275269743
x: -4.023377298740407, y: 2.2938741102456346
x: -4.724348912028704, y: 2.2353583318147163
x: -4.8170978186382545, y: 2.274699134455066
x: -4.919483434099261, y: 1.6039384437226383
x: -4.9519531310903, y: 1.3632333007933302
x: -4.9385021100679385, y: 1.0870809540519837
x: -4.71945335225428, y: 0.2888464826039383
x: -4.796279837393321, y: 0.11370012979217223
x: -4.863313457519524, y: 0.013395460085701123
x: -4.892821616992204, y: -0.10170056175283022
x: -4.920241598259047, y: -0.21937054873951897
x: -4.929490798379197, y: -0.242522374066807
x: -4.349782138906589, y: 0.023069960484578333
x: -4.1310221190545855, y: -0.06379900306925822
x: -3.3863957004059935, y: -0.017481271858365385
x: -3.157832208749781, y: -0.2219027639617953
x: -2.410665972071431, y: -0.3033586513662978
x: -2.1454176559827083, y: -0.6746166630325233
x: -2.174985522549799, y: -1.3458973674162085
x: -2.1815988884251065, y: -1.849081340562745
x: -2.217350431632088, y: -2.6673965617708557
x: -2.6336714260623153, y: -2.8574622016698803
x: -3.3062384469676256, y: -2.620682210296819
x: -3.3732688748449253, y: -1.937872134904089
x: -3.2797451594105222, y: -1.4979580282287277
x: -3.465130738253026, y: -1.413390176599396
x: -3.778033505910204, y: -1.3572104303058596
x: -3.9934158584496835, y: -1.3273183075826287
x: -4.691325698868412, y: -1.5446139328067965
x: -4.756057688229264, y: -1.7898977176827917
x: -4.77005654125534, y: -2.7645504909571468
x: -4.784063955395849, y: -3.7393067738129337
x: -4.666677495530925, y: -3.9051393169463795
x: -3.915687042077795, y: -3.9921264226485946
x: -3.6742089858829776, y: -4.020096436168835
x: -3.4319077259128727, y: -4.048163987104127
x: -3.279214838420316, y: -3.7891202816762655
x: -3.269151723235745, y: -3.238171728178653
x: -3.013143508192992, y: -2.8490380170560603
x: -2.2990380448668795, y: -2.9230540841646238
x: -1.9512713667242534, y: -3.5142799348139278
x: -2.1021277478474865, y: -3.8672470297549686
x: -2.1794308814249432, y: -4.32435238632437
x: -2.376879980743435, y: -5.138710406007759
x: -3.0368970614169855, y: -5.29116318204477
x: -3.263040170070163, y: -5.251132787699424
x: -3.9769449441676183, y: -5.19141472619468
x: -4.075737484809924, y: -5.093305773665131
x: -4.563841793870772, y: -5.308495131324285
x: -4.647797255495133, y: -5.613063397756418
x: -4.49691933042485, y: -5.657537893100378
x: -3.690289500571937, y: -5.686035386519055
x: -3.1416831103139273, y: -5.74071946752651
x: -2.2938600797931255, y: -5.561020512581929
x: -2.0411933553035144, y: -5.739375242016762
x: -1.36553441346617, y: -5.759852455922005
x: -0.7158400536670142, y: -5.882585427895378
x: -0.6970060016446313, y: -5.8678772148369305
x: -1.4377751681855255, y: -5.584855030535719
x: -1.4602013413374824, y: -4.899286700274951
x: -1.3045992855705584, y: -4.642448987568799
x: -1.0661026798356192, y: -3.8595031334730607
x: -0.390360475269657, y: -3.752964763705811
x: -0.19952391475413028, y: -3.9008553100992738
x: -0.10008438535516813, y: -3.3787292410480396
x: 0.17477843868292192, y: -2.6474985284713712
x: 0.8594917231064877, y: -2.6150909565824154
x: 1.3047261526121292, y: -2.830145861964254
x: 2.241869141606276, y: -3.083216899060255
x: 2.7978438879985337, y: -3.568951005610264
x: 2.6140495846268244, y: -4.144244865819424
x: 2.5252934506763562, y: -4.338857401610715
x: 2.9238566365922085, y: -4.447998817387394
x: 2.975366642759264, y: -4.134298661362984
x: 3.0920262912088825, y: -3.4597877302896345
x: 3.008455238227058, y: -3.043559753580138
x: 3.2839759154171, y: -2.4595226922040125
x: 4.131639433463816, y: -2.4048273259703166
x: 4.430309885491983, y: -2.7681505284321095
x: 4.308762751003084, y: -3.608424861173459
x: 4.164728200532938, y: -3.8883097056777998
x: 4.047514905282623, y: -4.857972931747968
x: 3.9293865957296794, y: -5.728696022138744
x: 3.7175347869382627, y: -6.431607191660234
x: 4.02552552529671, y: -6.623389440557206
x: 4.649190057673816, y: -6.821906515856315
x: 4.783045102012805, y: -6.8401549259754635
x: 4.922205557769472, y: -6.124135538215269
x: 5.1668045409665755, y: -5.2062894755781794
x: 5.418166879722696, y: -4.268579438266814
x: 5.481857280765689, y: -4.0309736511989795
x: 5.53285237539259, y: -3.8407083078858553
x: 4.950200474205457, y: -3.6001380311283566
x: 4.4697371922629845, y: -3.106986266006671
x: 4.614265946811519, y: -2.462557497592563
x: 4.772958317511806, y: -2.0199002427304085
x: 5.015675327440252, y: -1.0675062574549414
x: 5.1600078773286455, y: -0.5011932058509251
x: 4.969338820912607, y: -0.5235267023725638
x: 4.794409881966991, y: -0.6859812925637214
x: 4.61722264547419, y: -1.6149921997594379
x: 4.3094238114597445, y: -2.2901369736209722
x: 3.7903179699354164, y: -2.304764990079847
x: 3.384417075948483, y: -2.114552192145312
x: 2.704809060796544, y: -1.937706598133262
x: 2.433816760583006, y: -1.698656615960001
x: 1.6124894124842604, y: -1.479974879894971
x: 1.0886168712237012, y: -1.0291248123125822
x: 1.3114161764052235, y: -0.37622749043461023
x: 1.5787928357966798, y: -0.16719119526726434
x: 1.9638928327297098, y: 0.5477356566822109
x: 1.8857724748206302, y: 0.6768356165896011
x: 1.698287440167698, y: 0.6424323088842027
x: 1.1532819134374477, y: 0.38067568609797753
x: 0.769695871343266, y: 0.0485267200824852
x: 0.585437081340605, y: -0.11288254863525962
x: 0.41919424826048396, y: -0.2585290344333888
x: 0.09734533704960706, y: -1.017665058186831
