start -> translation: (7.6, 3.5, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.18896545833326853, y: -0.36574881382687313
x: -0.10084151161745022, y: -0.5946971664101213
x: -0.10222905062600715, y: -0.9815160041627746
x: 0.01963064049862919, y: -1.069757402213435
x: 0.2378056214878565, y: -1.0881520116505483
x: 0.36726291702461145, y: -0.49135429563069094
x: 0.41456236240228034, y: -0.25206273773462284
x: 0.2361831379804251, y: 0.061057430833625845
x: -0.012875354295948327, y: 0.7801559843103777
x: 0.6006893141252392, y: 1.0804179560266496
x: 1.4050772237478346, y: 0.9125344639468057
x: 1.6113784940341789, y: 0.30100156789040056
x: 1.4407346831092027, y: -0.11969780293368883
x: 1.3354517524803886, y: -1.0124143673218449
x: 1.298346099974892, y: -1.3271042486153188
x: 1.269775130443854, y: -1.5694509758285116
x: 1.2412053595391144, y: -1.8117978446187797
x: 1.444142928553771, y: -2.4059858722257244
x: 1.4455459945080973, y: -2.929190014901226
x: 1.5201995547761178, y: -3.0205270163634284
x: 2.397081826092922, y: -3.0816173173413506
x: 2.4835933142286817, y: -2.8970761214528538
x: 2.5839015012585147, y: -2.369042346567648
x: 2.6294450412642236, y: -2.1293049473306485
x: 2.498748404325871, y: -1.566324890046317
x: 2.510995685905262, y: -0.8318004392637471
x: 2.5190858352356695, y: -0.3352677751016713
x: 2.506547831586131, y: -0.042303218786485824
x: 1.8144215508842625, y: 0.10177481784563913
x: 1.5153272656864158, y: 0.49938069447459765
x: 1.5516419923165492, y: 1.1683998515228924
x: 1.5881442867883027, y: 1.6649029286735475
x: 1.6277805319688128, y: 2.4684844865274886
x: 1.7564270177620906, y: 2.9904451345302276
x: 1.8030863606182437, y: 3.179689854443996
x: 1.612209071667, y: 3.2097286117937194
x: 1.4428788362701936, y: 3.037516050540097
x: 1.365214340421345, y: 2.5370120745875946
x: 1.3562426571436221, y: 2.027174576741811
x: 1.2181559802169049, y: 1.281640098371298
x: 0.708977877811626, y: 1.2747448176714902
x: 0.3437852222715908, y: 1.4002186043407185
x: -0.3842706066749977, y: 1.3631576849057254
x: -0.7247403755582846, y: 1.5973143287686005
x: -0.5774326328459011, y: 2.0359888404734083
x: -0.6626918037859252, y: 2.882642086785264
x: -0.5426976962063189, y: 3.33453169316425
x: -0.5426888160282431, y: 3.334550418440052
x: -0.6589147025868143, y: 2.9129098220265246
x: -0.7224880771953363, y: 2.6762382104380813
x: -0.7029098646528238, y: 2.324533562456444
x: -0.6940704451644022, y: 1.575545392373022
x: -1.3058492626228915, y: 1.2590483103682688
x: -1.9722367908925547, y: 1.7243591099561824
x: -2.369985297231245, y: 2.3870294388896283
x: -2.2014201570827376, y: 2.7249979057406146
x: -2.120376035522621, y: 3.3986661993344733
x: -2.2764491386383314, y: 3.492614892488045
x: -2.4106159885012937, y: 3.4513471816568364
x: -2.737805246779414, y: 2.9325824471199415
x: -2.8109905922340643, y: 2.2889003029669355
x: -2.881883405376464, y: 1.316728422526954
x: -3.0720083067850448, y: 0.5462223560257946
