start -> translation: (7.6, 3.5, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.16587241346490106, y: -0.31826838270640523
x: -0.0828469609921141, y: -0.520038972437937
x: -0.10606492275168392, y: -1.0023474735781852
x: 0.13475491320171384, y: -1.0864086762959535
x: 0.25344336026377867, y: -1.0522178353754414
x: 0.36351109512268837, y: -0.5292022468815818
x: 0.41376774972582286, y: -0.2904083978855698
x: 0.23642787930292536, y: 0.026687757810020644
x: -0.02502721270250722, y: 0.7321131732963175
x: 0.571404745060557, y: 1.0640614039789498
x: 1.4011853638010108, y: 0.8889850432717014
x: 1.6591300282171346, y: 0.36957636911533
x: 1.4968122762231544, y: -0.043484810722281254
x: 1.390456338835682, y: -0.7659326600240624
x: 1.3396310371709292, y: -1.1545136642404432
x: 1.3079977740303117, y: -1.3963752276412937
x: 1.276365707603678, y: -1.6382369479648484
x: 1.444209835698411, y: -2.1900750583497333
x: 1.435414175180538, y: -2.8990954267636564
x: 1.4307981476546099, y: -2.995941097075859
x: 1.8228348944070827, y: -3.1186214086272432
x: 2.4793094199431276, y: -3.1892973198173036
x: 2.5610290687495763, y: -2.8341871823753326
x: 2.6138628223882345, y: -2.5959502513108457
x: 2.652909105602299, y: -2.3809103596484826
x: 2.4619808013619098, y: -1.5265175319361255
x: 2.5965072209755995, y: -1.086242298107739
x: 2.5519380728223675, y: -0.3336577171075925
x: 2.5696119818672707, y: -0.0900194038532329
x: 1.8979186183358896, y: 0.021418974285735845
x: 1.6056669192366029, y: 0.3398903485344397
x: 1.7138719193412983, y: 0.8163737885029253
x: 1.7696351165920683, y: 1.0548999207979417
x: 1.6584849936841064, y: 1.6168871938815956
x: 1.681163519346654, y: 2.353382909704575
x: 1.7838994666452972, y: 2.9263548829749384
x: 1.810938751388117, y: 3.1465471410399615
x: 1.5895224844304876, y: 3.0282779300007894
x: 1.5440083015636454, y: 2.7129194624940034
x: 1.4960812244967343, y: 1.8124149080716292
x: 1.222627314100131, y: 1.2321972292825676
x: 0.6315216280418239, y: 1.145121050154611
x: 0.34991613952304657, y: 1.2777973917997791
x: -0.45422167965095933, y: 1.3725047639775034
x: -0.564959419511626, y: 1.8216450075307151
x: -0.5371723313107996, y: 2.4529690336986296
x: -0.504626991398657, y: 3.231431438917734
x: -0.49940136116062867, y: 3.2801310723239787
x: -0.5697936435271068, y: 2.7510195526003653
x: -0.6745748807842734, y: 1.7819143782453701
x: -1.0894705321213112, y: 1.2096492834466814
x: -1.7462524541954878, y: 1.422973008095092
x: -2.297996390689927, y: 2.0964526908032295
x: -2.155414836286212, y: 2.682218586713827
x: -2.044870240746359, y: 3.3272213063647125
x: -2.243011608887777, y: 3.4468362687280503
x: -2.3422254397901487, y: 3.4021617007381373
x: -2.6555901027356046, y: 2.799046288762657
x: -2.7381746343563487, y: 1.9770079887786864
x: -2.821810079928238, y: 1.0057453264876557
x: -3.156211626118678, y: 0.3619210767852392
x: -3.8653823465313786, y: -0.10363215810504245
x: -4.492854231053296, y: 0.23411417845903773
x: -4.472877555020695, y: 0.8422163464977805
x: -4.469018306708804, y: 1.6460397991808229
x: -4.3928323442257815, y: 2.442835431342025
x: -4.244994185297, y: 2.9595803247987407
x: -4.177593839255781, y: 3.195190638278539
x: -4.2946552297183676, y: 3.8165584600898783
x: -4.517368767536585, y: 3.9440830660866397
x: -5.03931348100969, y: 4.072360636771338
x: -5.276286804087151, y: 4.130600516834413
x: -5.514165539893914, y: 4.189063857418521
x: -6.175094344335727, y: 4.041857245747629
x: -6.64114778701208, y: 4.462029626485252
x: -6.428536161637114, y: 5.102080675918724
x: -5.746612118076666, y: 5.173078116611717
x: -5.335286561261044, y: 5.033960281529064
x: -4.572572724565737, y: 4.906521370724293
x: -4.1072775088712055, y: 4.688871835851181
x: -4.311666229840571, y: 4.028655731616685
x: -4.970312191568109, y: 3.8451113819800997
x: -5.210965146829397, y: 3.999560198477237
x: -6.186205887788639, y: 4.082891199463822
x: -6.538306205972207, y: 4.518573646900122
x: -6.173173933367532, y: 5.076752433070979
x: -5.498485290490525, y: 4.95998986768984
x: -5.409894681690159, y: 4.816273450194101
x: -4.653824506318731, y: 4.493126116018942
x: -4.031465734593492, y: 4.225394442304857
x: -3.8536721520189827, y: 4.512912686740653
x: -3.900585406463548, y: 4.7583417214088275
x: -4.466009138322029, y: 5.3338991406645695
x: -4.502790579463623, y: 5.460953142718592
x: -4.997616220381359, y: 5.667841893824694
x: -5.688174702023339, y: 5.320602909457469
x: -6.298334185122378, y: 5.578345820816187
x: -6.359909057004046, y: 5.654420716323751
x: -6.639095794778405, y: 4.984015013544068
x: -6.999326746854961, y: 4.078156551906854
x: -7.170952819627618, y: 3.6465045611990865
x: -6.729487739654494, y: 3.1919163382635594
x: -6.681442867331482, y: 3.083754092150553
x: -5.950648444372527, y: 3.081532294209269
x: -5.714416192676735, y: 2.699717277196936
