start -> translation: (7.6, 3.5, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: -5.154147395845316, y: 2.408670095653332
x: -4.929009942424694, y: 2.075400948786654
x: -5.199336241455633, y: 1.2934376966535395
x: -5.534336653978936, y: 0.4303391615628427
x: -5.962134542283604, y: -0.0060003625147597725
x: -6.573179490166472, y: 0.37479691469653065
x: -6.736855786191128, y: 1.0321107703852408
x: -6.474974344555132, y: 1.3076770052639786
x: -6.351410074713974, y: 1.6245337426534243
x: -6.917878261946994, y: 1.909977187583534
x: -7.535499476434919, y: 2.2070270552271842
x: -7.6395778829076395, y: 2.230194221753508
x: -7.920198881554898, y: 1.5099494170342338
x: -8.354073258724931, y: 0.6369666453485336
x: -8.495977697205792, y: 0.3514473856729213
x: -8.604588029053737, y: 0.1329250074778295
x: -8.679778545418918, y: -0.0676919565877181
x: -8.087560324864512, y: -0.2854415921347411
x: -7.2896486235129485, y: -0.6375984992223636
x: -7.16879266735787, y: -0.5132311496441716
x: -6.817389322983622, y: 0.13821745395516016
x: -6.334550535237029, y: 0.19498780652731754
x: -5.896707148975259, y: 0.1650844122835361
x: -5.240568791500419, y: -0.13632479146000015
x: -5.314082178587998, y: -0.8135963728519578
x: -5.647199717104232, y: -1.0023902270508185
x: -6.087181730407317, y: -1.6164055197606455
x: -6.726869836020089, y: -1.9544919891885928
x: -7.27620210283084, y: -1.5496616241559578
x: -7.221520071339927, y: -1.353264763415365
x: -7.183664640470078, y: -1.322902023965473
x: -7.757604634968138, y: -1.133605829343001
x: -7.944797051450071, y: -0.7400048302149812
x: -8.292946800719404, y: -0.6389356913408474
x: -8.460815996870847, y: -0.5894147842267344
x: -8.670821533479952, y: -0.8531030511103416
x: -8.21201923888167, y: -1.3141631867428816
x: -7.711507572814366, y: -1.7792935943519366
x: -7.035490523240336, y: -1.9792454652250346
x: -6.767453138305884, y: -2.456416752982021
x: -6.365663844527176, y: -2.94236385240898
x: -6.204170351186125, y: -3.130390290477093
x: -6.0560873554778585, y: -3.289863326030579
x: -5.760464430710348, y: -3.4114694661161336
x: -5.756628913292397, y: -3.4123616759834574
x: -6.044014794898462, y: -2.6723669812208772
x: -5.609497155296553, y: -2.1404150610123813
x: -5.199586169845375, y: -1.9500106659774048
x: -4.457632580761079, y: -1.7558891666195895
x: -4.098072466885134, y: -2.180229909536359
x: -4.116280035061603, y: -2.2251165696621036
x: -3.6315818606274135, y: -1.817201955620106
x: -2.938826019443478, y: -1.5027259183300976
x: -2.4499476061258196, y: -1.9883974246666793
x: -2.2237508013156035, y: -2.4030323401281537
x: -2.045884194116585, y: -2.668895885508167
x: -1.7886174519681386, y: -3.0534360130540836
x: -1.5810841776075049, y: -3.7911932852838133
x: -2.088465872065612, y: -4.191347967577892
x: -2.200256541094273, y: -4.307596631439858
x: -1.9827898258246974, y: -4.565167886006116
x: -1.4924369835388325, y: -4.207235560950885
x: -1.1192582101604716, y: -3.851828920743667
x: -0.8045862967279046, y: -3.165340142319939
x: -0.09791109235646824, y: -3.3929990561729264
x: 0.3542726169442174, y: -3.9676552555269176
x: 0.09822860202804946, y: -4.43661833897998
x: -0.368822526927718, y: -4.7192701266913515
x: -0.9108526074420763, y: -5.281837885906089
