start -> translation: (1.8, 6.3, 0.05)| rotation: (0.0, 0.0, 1.0, -1.57)
x: 0.0, y: 0.0
x: 0.3553999701073945, y: 0.14883895628407812
x: 0.47543457666631805, y: 0.6023064716000498
x: 0.6776981691047284, y: 1.229587724004926
x: 1.2921182845094243, y: 1.2942745135712304
x: 2.015182041044913, y: 1.185897299085093
x: 2.801046656629225, y: 1.0438169459831017
x: 3.061991996847459, y: 0.4790471628882264
x: 2.616125878427267, y: -0.03021799703364678
x: 2.0853107182047004, y: 0.08792189780519113
x: 1.622892878904187, y: 0.12221319386341761
x: 1.6252066552586533, y: -0.43484522891505406
x: 1.5121512898702272, y: -1.150001749506574
x: 1.4879856490659962, y: -1.2909362859906843
x: 2.2366460777832704, y: -1.339618455754843
x: 3.2110362981325706, y: -1.3697779508164898
x: 3.942864939602518, y: -1.3924207447726729
x: 4.004233873469385, y: -1.2258940738347262
x: 4.030705297466359, y: -0.427572478851622
x: 4.126062640572514, y: -0.05280395491012334
x: 4.1505226226718115, y: 0.04312796483876721
x: 3.30226089436135, y: 0.14557310036092713
x: 3.021077937047773, y: 0.43386999197266557
x: 3.159972063381019, y: 1.1434979815922781
x: 3.8061582020581595, y: 1.3734606397057862
x: 4.27562763418115, y: 1.2145620813877434
x: 5.202538978237517, y: 1.133100178918313
x: 5.5826634531874575, y: 0.5747554535230839
x: 5.385805608456926, y: 0.1549977125485157
x: 5.244411077251218, y: 0.17255628492725153
x: 5.290998180361262, y: 0.08874942022420332
x: 5.453404073415394, y: -0.6672118799034272
x: 5.235125384472703, y: -0.794948384715465
x: 5.297349038541519, y: -0.9507610925998676
x: 5.431505560976022, y: -1.2963910519974786
x: 5.771455528848849, y: -1.3016295409613716
x: 5.8390381611266315, y: -0.9617938700131178
x: 5.928702023420388, y: 0.01288504376977394
x: 5.680603343252588, y: 0.6463963153615754
x: 5.884317654054028, y: 1.1601510671840884
x: 6.025222312040206, y: 1.6477226452265181
x: 6.0834880248585534, y: 1.884689606556699
x: 6.072879909101553, y: 2.171121388173067
x: 6.078197837840036, y: 2.4805368519785045
x: 6.087892661738778, y: 2.5953052490403583
x: 6.025420507795225, y: 2.3062447317892123
x: 5.596808825438369, y: 1.7101799562108304
x: 5.006625681800725, y: 1.834494875744222
x: 4.457069732120357, y: 1.8505449342641789
x: 3.925884529407658, y: 2.252366074139393
x: 4.046795821775946, y: 2.846643926811162
x: 4.051047133104503, y: 2.894435339987048
x: 3.1543789010174237, y: 2.9545252859859343
x: 2.635774368830899, y: 3.3773321435087675
x: 2.7542409381155477, y: 3.9682758232409934
x: 2.882792281247857, y: 4.508120886369644
x: 2.9313800322447174, y: 4.7472598922235445
x: 3.0819078051111117, y: 5.488239898975276
x: 3.616309694641823, y: 5.85542141546359
x: 4.058923696670523, y: 5.688758325912723
x: 4.254858424991403, y: 5.969318780428271
x: 4.257299787466979, y: 6.0471952266878235
x: 3.6644765370233823, y: 6.187870411279913
x: 3.426138462341788, y: 6.244432087116161
x: 3.038451150034523, y: 6.101707324630419
x: 2.3309235936559713, y: 5.996127270884767
x: 2.1534434448523254, y: 6.7522917666078985
x: 2.3113765287495545, y: 7.336299336167961
x: 3.0498819326172453, y: 7.44739810310847
x: 3.41452012255756, y: 7.266640958748122
x: 4.200963971871559, y: 7.005680818017156
x: 5.117002485369843, y: 6.672488209349171
x: 5.622203383769305, y: 6.48873607860705
x: 5.852408572945716, y: 6.405011410685145
x: 6.0130847697447924, y: 6.346573014471374
x: 6.270149868364179, y: 6.728665941254794
x: 6.491977239739034, y: 7.3412126957700865
x: 6.311845612629325, y: 7.566904950327195
x: 5.61854324121889, y: 7.868895865567714
x: 5.39491559885784, y: 7.966304029837973
x: 5.171190786303843, y: 8.06374858822423
x: 4.544719973351746, y: 8.041304761943689
x: 3.9197906954290844, y: 8.258379114310044
x: 3.582734172755229, y: 8.376644332203703
x: 3.432774106438309, y: 7.964342530100169
x: 3.071652660545217, y: 7.505390575254309
x: 2.4571669477501947, y: 7.72098954201804
x: 1.8328514734071524, y: 8.003447798914292
x: 1.6096732104058973, y: 8.104421625421018
x: 1.3873441769985566, y: 8.205010074305592
x: 0.6739184694011202, y: 8.343357027972928
x: 0.2401343915906594, y: 8.420032630070432
x: 0.2749256371108393, y: 8.171639241025627
x: 0.5943324314402315, y: 8.016763701354622
x: 1.0715936870232414, y: 7.84186697497536
x: 1.8509517537690419, y: 7.594707747734417
x: 1.925368989780844, y: 7.166940177438213
x: 1.6253929082861152, y: 6.649787534803006
x: 1.505455714600793, y: 6.104548174066357
x: 1.1490601888149201, y: 5.669469506822641
x: 1.1798669638150785, y: 5.28029755471556
x: 1.0782586827880325, y: 4.52446486812298
x: 0.4706167679266604, y: 4.1755520508889
x: -0.010591613266880538, y: 4.461082322051587
x: -0.5239614878648374, y: 4.736547928172765
x: -0.7412750139729564, y: 4.847784887664207
x: -0.9574796158273857, y: 4.958459304456775
x: -1.0797155808431926, y: 4.642305308544102
x: -0.8743986090590563, y: 4.401669722671138
x: -0.4873277861413111, y: 4.0349823646951455
x: 0.4295494421290648, y: 3.7037995225827305
x: 1.2969240057285396, y: 3.3784850863281237
x: 1.803274404547699, y: 2.7994532952042874
x: 1.9905587326517347, y: 2.072322542388737
x: 1.4373930813008249, y: 1.6436132283079805
x: 0.9731857701437895, y: 1.818466976468566
x: 0.08438866239150399, y: 1.9580137121656636
x: -0.676568314118229, y: 2.2215108357601583
x: -0.9656796307958782, y: 2.346320225053556
x: -1.1897182484225006, y: 2.443041147960179
x: -1.9837838657108797, y: 2.5831185839780564
x: -2.104052999923353, y: 2.603493651147879
x: -2.369434470686896, y: 1.7646029937829915
x: -2.639708474055769, y: 0.9072936603060877
x: -3.1056028745893727, y: 0.3572795668473915
