start -> translation: (5.2, 6.0, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.10783271176014159, y: 0.0212728181050506
x: 0.07778991068568272, y: 0.648782844118585
x: -0.005527647237726158, y: 0.7137287278677863
x: -0.15703627542579354, y: 0.6520425544529828
x: -0.4186326322448338, y: 0.2716915574721397
x: -0.3775927785254972, y: -0.329632476335253
x: -0.4962137907559708, y: -0.9974798362780982
x: -0.5575520556987871, y: -1.2316354870906114
x: -0.5722075410934984, y: -2.1043515332215654
x: -0.9941526807224579, y: -2.7700886265747875
x: -1.629716950421436, y: -3.0124309521236907
x: -2.1226636228596587, y: -2.524601330019989
x: -2.0823344058401587, y: -2.1446752245123935
x: -2.1814815859696544, y: -1.3251246841859843
x: -2.0455128962647535, y: -0.8794408418718175
x: -2.0957325493378827, y: -0.3079235538837012
x: -2.108542325554663, y: 0.4319282683952135
x: -2.00835668089646, y: 0.7838108235683141
x: -1.9707670530212158, y: 0.9945470222035866
x: -2.620004693343291, y: 1.132402300733435
x: -2.8645295673493214, y: 1.1674941296530232
x: -3.105978613821365, y: 1.2021356918465322
x: -3.347632102442522, y: 1.2368115327692961
x: -4.02582334981287, y: 1.051444873617758
x: -4.501947529721842, y: 1.4568823254811845
x: -4.294414665269103, y: 2.083468468180181
x: -3.607092238442281, y: 2.1814404001225634
x: -3.3355666573028926, y: 2.059934654433871
x: -2.3573891808505634, y: 2.025187705721125
x: -2.0173746344060057, y: 2.010002232779987
x: -1.9290005830897918, y: 2.411772988123571
x: -2.421518233496684, y: 2.6112024948253647
x: -2.803339238498285, y: 2.9747866936716885
x: -3.2375846978440856, y: 3.031430032387134
x: -3.6130792429430056, y: 2.7784860180260647
x: -4.282923097974624, y: 2.4595220486565084
x: -4.655206584423135, y: 2.560215816785494
x: -4.688853062077742, y: 2.2239384715439856
x: -4.753247670500175, y: 1.2512106693594671
x: -4.808102601566594, y: 0.42199069110767573
x: -4.439016494919879, y: 0.10267091741280152
x: -4.276207303701776, y: 0.03262696195525445
x: -3.491107592023506, y: 0.2610521681579441
x: -3.142194936451263, y: -0.01712123264347709
x: -2.5163673936209134, y: -0.09414528493318164
x: -2.196302575764118, y: -0.33476798537406804
x: -2.2498655675580213, y: -1.1326012158939291
x: -2.3460234565889997, y: -2.0986430135532803
x: -2.6103236610327376, y: -2.6373389997869565
x: -3.273343118521358, y: -2.6181227691156472
x: -3.5960169277282508, y: -2.014168631223543
x: -3.4203718369900336, y: -1.6486972390642256
x: -3.3393791095545895, y: -1.2420980080538597
x: -3.8910270827173754, y: -1.1847093606947232
x: -4.720676711029339, y: -1.13679052459246
x: -4.838055847576949, y: -1.1755485515211865
x: -4.977093681038941, y: -1.991924342513446
x: -5.018043345618499, y: -2.232383918802095
x: -5.059164793736691, y: -2.4738653594246176
x: -5.087547797240751, y: -2.690475407550784
x: -4.874003537400892, y: -3.465595069766127
x: -4.822126393649117, y: -3.572627440791249
x: -3.856559924985186, y: -3.690910106651439
x: -3.559830349774635, y: -3.725003054309068
x: -3.3130410148795084, y: -2.986646724019364
x: -2.9039316331570504, y: -2.739097191332013
x: -2.2276878952036028, y: -3.0750024459232166
x: -2.2534515637935857, y: -3.764580588089914
x: -2.4690498522280193, y: -4.158298326452278
x: -2.7898755425784234, y: -5.027522764586122
x: -3.428880149001188, y: -5.201717780828762
x: -3.675373592208788, y: -5.01426547066119
x: -4.373549117611245, y: -5.004901958824612
x: -4.56724919447255, y: -4.700690506520113
x: -4.566750794425328, y: -4.699789523031959
x: -5.094845876666722, y: -4.899272748944731
x: -5.175353003603431, y: -5.179154732303547
x: -4.837215721303341, y: -5.22968741025814
x: -4.054156470636031, y: -5.478705798555915
x: -3.7348661850591225, y: -5.523597671859625
x: -2.921885613316836, y: -5.395605450885307
x: -2.687353606379955, y: -5.695123876244444
x: -1.9891880057867406, y: -5.909452053197355
x: -1.3818208846586968, y: -6.085234199430183
x: -1.3817728131103333, y: -6.085239377322378
x: -2.0882684847462274, y: -5.598054005831247
x: -1.976024996883062, y: -4.920495165584986
x: -1.7741890271836562, y: -4.488246623205284
x: -1.2970108914022103, y: -3.9299550678264894
x: -0.7982355660187845, y: -4.03528236329718
x: -0.7483955079414666, y: -4.1145122135060355
x: -0.5770949640106242, y: -3.5118861437665645
x: -0.19154277849372506, y: -2.842512949797413
x: 0.4880295135334686, y: -2.959860107191906
x: 0.9173095952415058, y: -3.1644752447748163
x: 1.2151790215693945, y: -3.2752553709032073
x: 1.786355325129723, y: -3.487653060264143
x: 2.2702124934425423, y: -4.019377788622306
x: 2.0301824082953015, y: -4.5267445759939395
x: 2.130995876221787, y: -4.707886702330421
x: 2.335352100715656, y: -4.838323131072635
x: 2.440176681188738, y: -4.293754473255906
x: 2.524345579124868, y: -3.714383074076929
x: 2.430724482357048, y: -3.0162494563468543
x: 3.0587135231642972, y: -2.721560591549484
x: 3.813852541737322, y: -2.895555332139653
x: 3.9020540776232067, y: -3.3158260351358897
x: 3.706164341465381, y: -3.9222325933846545
x: 3.5535707271292187, y: -4.534402100515964
x: 3.345549322338209, y: -5.486593859825146
x: 3.2469892159988705, y: -5.9376827221251345
x: 3.194705160372859, y: -6.176995574519261
x: 3.1426412381171382, y: -6.415295879608228
x: 3.090357182491124, y: -6.654608732002363
x: 3.148083369341569, y: -6.805206208210458
x: 3.4102476534284687, y: -6.984840057088415
x: 4.207636096421074, y: -7.084988930904279
x: 4.323575711701156, y: -6.857206098609471
x: 4.546538480377989, y: -5.912447082424032
x: 4.769552458646157, y: -4.967593691099391
x: 4.9258246069866445, y: -4.305521310004096
x: 4.959580081478361, y: -4.162420188059704
x: 4.236079162413765, y: -3.836974358381097
x: 3.9630128923354855, y: -3.48125222941217
x: 4.148744152978988, y: -2.784100894141683
x: 4.292887727488732, y: -2.5571978433044316
x: 4.45820470837978, y: -1.6046626546826441
x: 4.6965727943011775, y: -0.8372717829043642
x: 4.689142501601341, y: -0.7426921000338869
