start -> translation: (7.6, 3.5, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.15443664583303748, y: -0.344790038896553
x: -0.10802507304619562, y: -0.5107128268725137
x: -0.13130777378130945, y: -0.887959034563655
x: -0.10675180857869505, y: -1.058280727048767
x: 0.24504024268307772, y: -1.1099200892097247
x: 0.2752786534797674, y: -0.4502634009697364
x: 0.330381507863814, y: -0.019101330854620013
x: 0.13990651157423536, y: 0.7218184115803233
x: 0.7727866719057476, y: 1.0690806884820112
x: 1.5065431930575146, y: 0.966848121985276
x: 1.5554338343327256, y: 0.27487497249496873
x: 1.4348347770233159, y: -0.24939888473930139
x: 1.3632449688565031, y: -0.48268656450112535
x: 1.4959442152233724, y: -1.2189813261568945
x: 1.4018966285766656, y: -1.8661525450500343
x: 1.4339366165976648, y: -2.3878957505647076
x: 1.4049280321505921, y: -2.953198071770672
x: 1.6526197971636565, y: -3.055490442530613
x: 2.206204195742649, y: -3.1842092075238324
x: 2.4350612138970735, y: -3.2376346282910813
x: 2.4809584113579652, y: -2.8615187039033434
x: 2.5685186342812085, y: -1.8947636723181585
x: 2.656826811174843, y: -0.9199609341830138
x: 2.728829106502764, y: -0.12513432789513235
x: 2.3640337218237053, y: -0.03931938301029634
x: 1.6799828509143555, y: 0.15370431042632973
x: 1.5277472571250599, y: 0.8743477035660369
x: 1.6628120081024644, y: 1.3762122487963806
x: 1.7041874081596113, y: 1.6591946466853034
x: 1.7394688623673094, y: 1.9005510320268455
x: 1.7022665968542379, y: 2.5125541871712316
x: 1.6483511883059176, y: 3.0794917137371085
x: 1.5171051105984856, y: 3.042110583646406
x: 1.3769427557693248, y: 2.915387313963473
x: 1.437515668436878, y: 2.131675810368165
x: 1.344774295576272, y: 1.3226685482088392
x: 0.9196232233907798, y: 1.0271278256362881
x: 0.3352093976667639, y: 1.1047777514858597
x: -0.12030157586284021, y: 1.1065839795548078
x: -0.6744879594120317, y: 1.330950292639209
